FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat
MR013,P. blochii,41105,3,213,192,183.9,F,4,9.9,0
MR014,P. blochii,41105,3,212,196,186.8,F,4,9.1,2
MR015,P. blochii,41105,3,205,194,173,F,4,9.4,1
MR016,P. blochii,41105,3,247,227,320,F,3,21,0
MR017,P. blochii,41105,3,256,240,387,F,4,35,1
MR022,P. blochii,41456,3,211,198,203.6,F,3,12,2
MR023,P. blochii,41061,2,250,221,327.4,F,4,28.5,0
MR024,P. blochii,41061,2,209,190,183.4,F,4,9.8,0
MR025,P. blochii,41108,3,257,232,293,F,5,10.3,0
MR026,P. blochii,41108,3,215,198,187,F,4,4.2,0
MR027,P. blochii,41084,2,291,262,556.4,F,4,30.3,2
MR028,P. blochii,41084,2,246,223,309.1,F,5,24.6,0
MR029,P. blochii,41084,2,232,210,257,F,6,23.1,1
MR030,P. blochii,41119,3,220,195,217,F,6,14.5,0
MR031,P. blochii,41119,3,221,198,219,F,5,15.4,0
MR032,P. blochii,41119,3,215,195,218,F,6,18.1,0
MR033,P. blochii,41119,3,240,220,286,M,6,21.2,0
MR034,P. blochii,41108,3,249,226,284,M,2,0.6,0
MR035,P. blochii,41108,3,258,237,348,F,4,19.3,0
MR036,P. blochii,41108,3,273,249,408,F,3,15,1
MR037,P. blochii,42448,1,244,220,320,F,5,17.2,1
MR038,P. blochii,41105,3,205,185,182,F,2,5.4,1
MR039,P. blochii,41017,2,215,200,198,F,4,11.3,0
MR040,P. blochii,41017,2,210,190,202,F,5,19.4,0
MR045,P. blochii,41119,3,226,204,223,M,3,1.1,0
MR046,P. blochii,41119,3,233,211,226,H,2,2,0
MR049,P. blochii,41105,3,210,189,186,F,4,9.7,0
MR052,P. blochii,41133,3,195,176,123.6,F,2,1.4,0
MR055,P. blochii,41456,3,248,227,306,F,5,19.5,0
MR056,P. blochii,41167,3,245,223,245,M,1,0.4,0
MR057,P. blochii,41147,3,245,223,273,F,5,12.5,0
MR058,P. blochii,41167,3,232,210,230,F,4,8.2,0
MR059,P. blochii,41456,3,205,186,175.7,F,5,6.5,0
MR060,P. blochii,41456,3,211,195,208.9,F,6,13.3,0
MR061,P. blochii,41118,3,238,215,245.2,F,4,8.8,1
MR063,P. blochii,41133,3,219,197,200,M,4,6.3,0
MR064,P. blochii,41164,3,231,207,245,F,5,13.4,0
MR065,P. blochii,41134,3,220,201,211,F,1,3.2,0
MR067,P. blochii,41532,3,207,180,178,F,4,7.7,1
MR068,P. blochii,41532,3,224,201,216.2,F,5,10.1,0
MR069,P. blochii,41147,3,226,206,221,F,5,11.2,0
MR070,P. blochii,41532,3,218,198,217,F,6,12.9,0
MR071,P. blochii,41147,3,220,195,187,F,2,5.5,0
MR072,P. blochii,41479,3,232,208,209.6,F,5,11.3,0
MR157,P. blochii,41479,3,234,218,227.1,F,4,9.3,1
MR158,P. blochii,41479,3,241,224,287.2,M,4,20.7,2
MR160,P. blochii,41479,3,171,156,103.2,M,1,0.1,1
MR162,P. blochii,41119,3,229,209,257.9,F,5,10,0
MR163,P. blochii,41479,3,273,246,429.5,F,5,37.7,0
MR164,P. blochii,41471,3,237,211,247.1,F,3,5.5,1
MR165,P. blochii,41471,3,225,200,227,M,4,4.9,1
MR166,P. blochii,41471,3,210,189,200.6,M,3,2.2,1
MR167,P. blochii,41471,3,264,238,363.8,M,6,38.7,1
MR168,P. blochii,41471,3,260,245,407.8,F,5,34,1
MR169,P. blochii,41471,3,240,225,267,F,5,12,0
MR170,P. blochii,41471,3,236,211,250.4,F,5,13.3,1
MR171,P. blochii,41471,3,202,186,190.1,M,4,7.6,1
MR172,P. blochii,41456,3,209,195,188.4,F,4,2.6,2
MR173,P. blochii,41456,3,232,210,225.4,F,4,8.3,2
MR174,P. blochii,41456,3,189,166,150.2,F,3,3.2,1
MR175,P. blochii,41423,2,248,238,401.5,F,5,23.4,1
MR176,P. blochii,41423,2,225,205,255,F,4,10.9,1
MR177,P. blochii,41423,2,285,250,502.4,F,5,31.1,2
