FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR013,P. blochii,15 July 2012,3,213,191,184.7065236,F,4,10.67425977,0,0.061334948,5.361292166,5.218768207,195.1229598,0.94661604
MR014,P. blochii,15 July 2012,3,212,200,188.485057,F,4,9.448618188,2,0.052774833,5.356586275,5.239018731,192.4932218,0.979177632
MR015,P. blochii,15 July 2012,3,204,193,176.3822081,F,4,9.479975383,1,0.056799572,5.318119994,5.172653277,172.2844935,1.023784582
MR016,P. blochii,15 July 2012,3,247,225,319.3857859,F,3,21.51284818,0,0.07222156,5.509388337,5.766399732,299.0619983,1.067958443
MR017,P. blochii,15 July 2012,3,259,240,388.5231115,F,4,35.46407792,1,0.100448012,5.556828062,5.962352657,342.8999664,1.133050888
MR022,P. blochii,01 July 2013,3,214,201,202.3225514,F,3,12.2474001,2,0.064434515,5.365976015,5.309863213,197.7760539,1.022988109
MR023,P. blochii,01 June 2012,2,249,220,330.1134553,F,4,28.73581181,0,0.095348187,5.517452896,5.799436399,306.0976847,1.078457864
MR024,P. blochii,01 June 2012,2,212,195,185.0837271,F,4,10.63639251,0,0.060971941,5.356586275,5.220808302,192.4932218,0.961507763
MR025,P. blochii,18 July 2012,3,257,232,292.350277,F,5,11.11374249,0,0.039517421,5.549076085,5.677952662,335.3204649,0.871853369
MR026,P. blochii,18 July 2012,3,215,196,189.8752002,F,4,4.3695213,0,0.02355465,5.370638028,5.246367015,200.4526007,0.947232411
MR027,P. blochii,24 June 2012,2,289,263,559.6392821,F,4,30.3288734,2,0.057298842,5.666426688,6.327292437,470.3399811,1.189861174
MR028,P. blochii,24 June 2012,2,247,227,312.4873844,F,5,24.73986468,0,0.085977682,5.509388337,5.744564098,299.0619983,1.044891649
MR029,P. blochii,24 June 2012,2,235,209,255.5244811,F,6,23.77884733,1,0.102607531,5.459585514,5.543318221,259.0573028,0.986362779
MR030,P. blochii,29 July 2012,3,220,194,216.0092904,F,6,14.62605531,0,0.072627969,5.393627546,5.375321418,214.1905126,1.008491402
MR031,P. blochii,29 July 2012,3,224,203,217.403682,F,5,15.50909088,0,0.076817763,5.411646052,5.381755911,225.6128511,0.963613912
MR032,P. blochii,29 July 2012,3,218,198,220.67135,F,6,18.24137319,0,0.090112015,5.384495063,5.396674491,208.6239256,1.057747089
MR033,P. blochii,29 July 2012,3,238,223,284.8107881,M,6,21.54719677,0,0.081846474,5.472270674,5.651825058,268.7081144,1.059926265
