FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR013,P. blochii,15-07-12,3,213,192,183.9,F,4,9.9,0,0.056896552,5.361292166,5.214392132,195.1229598,0.942482628
MR014,P. blochii,15-07-12,3,212,196,186.8,F,4,9.1,2,0.051209904,5.356586275,5.230038526,192.4932218,0.97042378
MR015,P. blochii,15-07-12,3,205,194,173,F,4,9.4,1,0.057457213,5.323009979,5.153291594,174.7308765,0.990094043
MR016,P. blochii,15-07-12,3,247,227,320,F,3,21,0,0.070234114,5.509388337,5.768320996,299.0619983,1.070012245
MR017,P. blochii,15-07-12,3,256,240,387,F,4,35,1,0.099431818,5.545177444,5.958424693,331.5721171,1.1671669
MR022,P. blochii,01-07-13,3,211,198,203.6,F,3,12,2,0.06263048,5.351858133,5.316157285,189.8867428,1.072218086
MR023,P. blochii,01-06-12,2,250,221,327.4,F,4,28.5,0,0.095349615,5.521460918,5.791182665,309.6556965,1.057303333
MR024,P. blochii,01-06-12,2,209,190,183.4,F,4,9.8,0,0.056451613,5.342334252,5.21166956,184.7431742,0.992729506
MR025,P. blochii,18-07-12,3,257,232,293,F,5,10.3,0,0.036434383,5.549076085,5.680172609,335.3204649,0.873790987
MR026,P. blochii,18-07-12,3,215,198,187,F,4,4.2,0,0.02297593,5.370638028,5.231108617,200.4526007,0.932888869
MR027,P. blochii,24-06-12,2,291,262,556.4,F,4,30.3,2,0.057593613,5.673323267,6.32148746,479.7865971,1.159682249
MR028,P. blochii,24-06-12,2,246,223,309.1,F,5,24.6,0,0.086467487,5.505331536,5.733664849,295.5841334,1.045725954
MR029,P. blochii,24-06-12,2,232,210,257,F,6,23.1,1,0.098760154,5.446737372,5.549076085,249.6357631,1.029499927
MR030,P. blochii,29-07-12,3,220,195,217,F,6,14.5,0,0.071604938,5.393627546,5.379897354,214.1905126,1.013116769
MR031,P. blochii,29-07-12,3,221,198,219,F,5,15.4,0,0.075638507,5.398162702,5.38907173,217.009807,1.009170982
MR032,P. blochii,29-07-12,3,215,195,218,F,6,18.1,0,0.090545273,5.370638028,5.384495063,200.4526007,1.087538896
MR035,P. blochii,18-07-12,3,258,237,348,F,4,19.3,0,0.058716155,5.552959585,5.85220248,339.0963831,1.026256891
MR036,P. blochii,18-07-12,3,273,249,408,F,3,15,1,0.038167939,5.609471795,6.011267174,399.1079269,1.022279871
MR037,P. blochii,19-03-16,1,244,220,320,F,5,17.2,1,0.05680317,5.497168225,5.768320996,288.7078841,1.108386773
MR038,P. blochii,15-07-12,3,205,185,182,F,2,5.4,1,0.030577576,5.323009979,5.204006687,174.7308765,1.041601826
MR039,P. blochii,18-04-12,2,215,200,198,F,4,11.3,0,0.060524906,5.370638028,5.288267031,200.4526007,0.987764685
MR040,P. blochii,18-04-12,2,210,190,202,F,5,19.4,0,0.106243154,5.347107531,5.308267697,187.3034259,1.07846399
MR049,P. blochii,15-07-12,3,210,189,186,F,4,9.7,0,0.055019853,5.347107531,5.225746674,187.3034259,0.993041099
MR052,P. blochii,12-08-12,3,195,176,123.6,F,2,1.4,0,0.011456628,5.272999559,4.817050545,151.2670371,0.817098043
MR055,P. blochii,01-07-13,3,248,227,306,F,5,19.5,0,0.068062827,5.513428746,5.723585102,302.5664836,1.011347973
MR057,P. blochii,26-08-12,3,245,223,273,F,5,12.5,0,0.047984645,5.501258211,5.609471795,292.1327937,0.934506518
MR058,P. blochii,15-09-12,3,232,210,230,F,4,8.2,0,0.036970243,5.446737372,5.438079309,249.6357631,0.921342348
MR059,P. blochii,01-07-13,3,205,186,175.7,F,5,6.5,0,0.038416076,5.323009979,5.168777995,174.7308765,1.005546378
MR060,P. blochii,01-07-13,3,211,195,208.9,F,6,13.3,0,0.06799591,5.351858133,5.341855669,189.8867428,1.100129461
MR061,P. blochii,28-07-12,3,238,215,245.2,F,4,8.8,1,0.037225042,5.472270674,5.502074204,268.7081144,0.912514312
MR064,P. blochii,12-09-12,3,231,207,245,F,5,13.4,0,0.057858377,5.442417711,5.501258211,246.545752,0.993730364
MR065,P. blochii,13-08-12,3,220,201,211,F,1,3.2,0,0.015399423,5.393627546,5.351858133,214.1905126,0.985104323
MR067,P. blochii,15-09-13,3,207,180,178,F,4,7.7,1,0.045214328,5.332718793,5.18178355,179.6914778,0.990586767
MR068,P. blochii,15-09-13,3,224,201,216.2,F,5,10.1,0,0.049005337,5.411646052,5.376203905,225.6128511,0.958278746
MR069,P. blochii,26-08-12,3,226,206,221,F,5,11.2,0,0.053384175,5.420534999,5.398162702,231.470145,0.954766758
MR070,P. blochii,15-09-13,3,218,198,217,F,6,12.9,0,0.063204312,5.384495063,5.379897354,208.6239256,1.040149155
MR071,P. blochii,26-08-12,3,220,195,187,F,2,5.5,0,0.03030303,5.393627546,5.231108617,214.1905126,0.873054543
MR072,P. blochii,24-07-13,3,232,208,209.6,F,5,11.3,0,0.056984367,5.446737372,5.345200952,249.6357631,0.839623287
MR157,P. blochii,24-07-13,3,234,218,227.1,F,4,9.3,1,0.042699725,5.455321115,5.425390449,255.8914426,0.887485715
MR162,P. blochii,29-07-12,3,229,209,257.9,F,5,10,0,0.040338846,5.433722004,5.552571913,240.4409076,1.07261282
MR163,P. blochii,24-07-13,3,273,246,429.5,F,5,37.7,0,0.096222563,5.609471795,6.062621741,399.1079269,1.076150011
MR164,P. blochii,16-07-13,3,237,211,247.1,F,3,5.5,1,0.022764901,5.468060141,5.509793113,265.465543,0.930817601
MR168,P. blochii,16-07-13,3,260,245,407.8,F,5,34,1,0.090957731,5.560681631,6.010776858,346.7313095,1.176126842
MR169,P. blochii,16-07-13,3,240,225,267,F,5,12,0,0.047058824,5.480638923,5.587248658,275.2706381,0.969954521
MR170,P. blochii,16-07-13,3,236,211,250.4,F,5,13.3,1,0.056094475,5.463831805,5.523059639,262.2486377,0.954819069
MR172,P. blochii,01-07-13,3,209,195,188.4,F,4,2.6,2,0.013993541,5.342334252,5.238567362,184.7431742,1.019794105
MR173,P. blochii,01-07-13,3,232,210,225.4,F,4,8.3,2,0.03823123,5.446737372,5.417876602,249.6357631,0.902915501
MR174,P. blochii,01-07-13,3,189,166,150.2,F,3,3.2,1,0.021768707,5.241747015,5.011967739,138.2319467,1.086579504
MR175,P. blochii,29-05-13,2,248,238,401.5,F,5,23.4,1,0.061888389,5.513428746,5.995207533,302.5664836,1.326981083
MR176,P. blochii,29-05-13,2,225,205,255,F,4,10.9,1,0.04465383,5.416100402,5.541263545,228.5292408,1.115830951
MR177,P. blochii,29-05-13,2,285,250,502.4,F,5,31.1,2,0.065987694,5.65248918,6.219396615,451.8129839,1.111964503
